"soil";"prof_super";"prof_infer";"bd";"oc";"ph";"clay";"silt";"sand";"crs_name";"crs_code";"X";"Y"
"ArctowskiAL01";0;15;NA;4,87;5,54;0;4,09;95,91;"south pole stereographic";"ESRI:102021";-2701334,092;1657796,365
"ArctowskiAL02";0;15;NA;8,1;5,7;0;3,38;96,62;"south pole stereographic";"ESRI:102021";-2701094,824;1658022,9
"ArctowskiAL03";0;15;NA;3,74;5,84;0,29;9,71;90;"south pole stereographic";"ESRI:102021";-2700977,435;1657680,238
"ArctowskiAL04";0;15;NA;0,63;6,55;3,13;34,42;62,45;"south pole stereographic";"ESRI:102021";-2701132,648;1657364,485
"ArctowskiAL05";0;15;NA;4,92;5,47;0,05;8,27;91,68;"south pole stereographic";"ESRI:102021";-2701427,313;1657437,122
"ArctowskiAL06";0;15;NA;2,03;6,19;0,64;13,7;85,67;"south pole stereographic";"ESRI:102021";-2701264,689;1656508,268
"ArctowskiAL07";0;15;NA;0,85;6,89;3,75;31,03;65,21;"south pole stereographic";"ESRI:102021";-2700758,373;1657459,271
"ArctowskiAL08";0;15;NA;0,62;6,97;0,88;12,32;85,8;"south pole stereographic";"ESRI:102021";-2701891,734;1657559,797
"ArctowskiIK01";0;5;NA;2,84;5,7;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701990,373;1654726,953
"ArctowskiIK02";0;5;NA;0,32;5,8;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702425,79;1657380,801
"ArctowskiIK03";0;5;NA;2,26;4,6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2700730,579;1657229,499
"ArctowskiIK04";0;5;NA;4,93;3,4;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701593,563;1657403,152
"ArctowskiIK05";0;5;NA;1,82;3,3;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701568,428;1657359,231
"ArctowskiIK06";0;5;NA;0,38;6,6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701856,829;1657877,557
"ArctowskiMB01";33;49;NA;0,22;5,8;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,613;1657330,761
"ArctowskiMB01";19;33;NA;0,24;5,6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,613;1657330,761
"ArctowskiMB01";16;19;NA;0,92;5,3;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,613;1657330,761
"ArctowskiMB01";12;16;NA;0,99;5,2;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,613;1657330,761
"ArctowskiMB01";8;12;NA;1,16;5,3;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,613;1657330,761
"ArctowskiMB01";4;8;NA;1,61;5,4;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,613;1657330,761
"ArctowskiMB01";0;4;NA;3,61;5,6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,613;1657330,761
"ArctowskiMB02";4;8;NA;0,18;5,3;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701479,745;1657299,384
"ArctowskiMB02";30;54;NA;0,2;5,6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701479,745;1657299,384
"ArctowskiMB02";8;30;NA;0,21;5,5;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701479,745;1657299,384
"ArctowskiMB02";0;4;NA;0,25;5,2;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701479,745;1657299,384
"ArctowskiMB03";4;8;NA;1,1;4,7;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701519,102;1657292,108
"ArctowskiMB03";26;36;NA;1,3;5;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701519,102;1657292,108
"ArctowskiMB03";8;14;NA;1,5;4,7;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701519,102;1657292,108
"ArctowskiMB03";14;26;NA;1,5;4,8;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701519,102;1657292,108
"ArctowskiMB03";0;4;NA;2,2;5;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701519,102;1657292,108
"ArctowskiMB04";25;34;NA;0,21;3,9;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701423,852;1657334,773
"ArctowskiMB04";18;25;NA;0,96;4;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701423,852;1657334,773
"ArctowskiMB04";2;13;NA;2,72;4,2;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701423,852;1657334,773
"ArctowskiMB04";0;2;NA;3,14;4,3;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701423,852;1657334,773
"ArctowskiMB04";13;15;NA;3,18;4,1;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701423,852;1657334,773
"ArctowskiMB04";15;18;NA;4,42;3,9;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701423,852;1657334,773
"ArctowskiMB05";20;49;NA;0,19;3,7;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,922;1657187,734
"ArctowskiMB05";0;2;NA;0,2;5,8;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,922;1657187,734
"ArctowskiMB05";8;20;NA;0,2;6,2;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,922;1657187,734
"ArctowskiMB05";2;8;NA;0,24;6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701532,922;1657187,734
"ArctowskiMB06";10;50;NA;0,15;5,6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701794,417;1657261,613
"ArctowskiMB06";2;10;NA;0,25;5,4;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701794,417;1657261,613
"ArctowskiMB06";0;2;NA;0,26;5,1;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701794,417;1657261,613
"ArctowskiMB07";12;48;NA;0,22;4,4;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701614,35;1657480,15
"ArctowskiMB07";7;12;NA;1,66;4,1;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701614,35;1657480,15
"ArctowskiMB07";2;7;NA;7,06;4,4;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701614,35;1657480,15
"ArctowskiMB07";0;2;NA;26;5;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701614,35;1657480,15
"ArctowskiMB08";4;12;NA;0,06;6,4;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702283,95;1656828,48
"ArctowskiMB08";0;4;NA;0,07;6,4;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702283,95;1656828,48
"ArctowskiMB08";12;25;NA;0,07;6,5;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702283,95;1656828,48
"ArctowskiMB08";25;50;NA;0,07;6,7;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702283,95;1656828,48
"ArctowskiMB09";40;70;NA;0,09;3,9;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701182,482;1657689,031
"ArctowskiMB09";28;40;NA;0,14;3,9;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701182,482;1657689,031
"ArctowskiMB09";11;28;NA;0,18;3,9;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701182,482;1657689,031
"ArctowskiMB09";4;11;NA;0,48;4,1;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701182,482;1657689,031
"ArctowskiMB09";0;4;NA;5,45;4,4;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701182,482;1657689,031
"ArctowskiMB10";10;30;NA;0,02;7,2;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701097,815;1657736,325
"ArctowskiMB10";4;10;NA;0,04;7,1;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701097,815;1657736,325
"ArctowskiMB10";0;4;NA;0,08;6,4;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701097,815;1657736,325
"ArctowskiMB10";30;50;NA;0,09;7;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701097,815;1657736,325
"ArctowskiMB11";4;6;NA;0,96;4,2;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701396,354;1657432,472
"ArctowskiMB11";19;36;NA;2,39;4,2;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701396,354;1657432,472
"ArctowskiMB11";36;43;NA;2,88;4,2;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701396,354;1657432,472
"ArctowskiMB11";6;19;NA;3,13;4,2;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701396,354;1657432,472
"ArctowskiMB11";0;4;NA;23,1;4,2;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701396,354;1657432,472
"ArctowskiMB12";3;32;NA;0,05;5,5;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701702,411;1657172,464
"ArctowskiMB12";32;58;NA;0,06;5,6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701702,411;1657172,464
"ArctowskiMB12";0;3;NA;0,15;5;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701702,411;1657172,464
"ArctowskiMB13";22;30;NA;0,04;6,7;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702078,319;1656973,827
"ArctowskiMB13";9;22;NA;0,07;6,1;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702078,319;1656973,827
"ArctowskiMB13";4;9;NA;0,09;5,9;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702078,319;1656973,827
"ArctowskiMB13";0;4;NA;0,16;6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702078,319;1656973,827
"ArdleyA01";5;10;NA;19,05;5,67;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709765,622;1633005,526
"ArdleyA01";0;5;NA;27,63;6,35;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709765,622;1633005,526
"ArdleyA02";0;10;NA;29,01;5,6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710049,663;1632388,975
"ArdleyA03";0;10;NA;7,26;6;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710194,509;1632148,494
"ArdleyA04";0;4;NA;25,02;5,65;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710013,981;1631959,104
"ArdleyA05";0;6;NA;20,01;5,01;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709745,163;1632930,656
"ArdleyA06";0;10;NA;6,78;4,8;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710038,362;1632334,5
"ArdleyA07";0;10;NA;5,7;4,9;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710347,925;1632014,353
"ArdleyJB01";0;1;NA;30;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710097,496;1631729,552
"ArdleyJB01";1;5;NA;1,16;5,24;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710097,496;1631729,552
"ArdleyJB01";5;15;NA;6,2;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710097,496;1631729,552
"ArdleyJB02";0;1;NA;22,7;3,98;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710110,959;1631764,511
"ArdleyJB02";1;5;NA;10,9;4,58;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710110,959;1631764,511
"ArdleyJB02";5;15;NA;5,33;4,98;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710110,959;1631764,511
"ArdleyJB02";15;20;NA;1,49;5,29;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710110,959;1631764,511
"ArdleyJB03";0;1;NA;28,3;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710112,463;1631806,593
"ArdleyJB03";1;5;NA;13,8;4,49;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710112,463;1631806,593
"ArdleyJB03";5;15;NA;9,14;4,82;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710112,463;1631806,593
"ArdleyJB03";15;20;NA;0,99;5,03;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710112,463;1631806,593
"ArdleyJB04";0;1;NA;20,2;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710121,178;1631849,435
"ArdleyJB04";1;5;NA;6,93;4,63;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710121,178;1631849,435
"ArdleyJB04";5;10;NA;6,97;4,81;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710121,178;1631849,435
"ArdleyJB04";10;15;NA;4,31;5,13;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710121,178;1631849,435
"ArdleyJB05";0;1;NA;18,5;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710136,131;1631869,181
"ArdleyJB05";1;7;NA;8,7;4,56;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710136,131;1631869,181
"ArdleyJB05";7;12;NA;7,44;4,75;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710136,131;1631869,181
"ArdleyJB05";12;17;NA;5,12;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710136,131;1631869,181
"ArdleyJB06";0;1;NA;36,8;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710141,07;1631943,767
"ArdleyJB06";1;5;NA;14,6;4,38;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710141,07;1631943,767
"ArdleyJB06";5;13;NA;19,1;4,38;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710141,07;1631943,767
"ArdleyJB06";13;20;NA;12,5;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710141,07;1631943,767
"ArdleyL01";0;10;NA;NA;NA;12,7;65,5;21,6;"south pole stereographic";"ESRI:102021";-2709499,108;1632671,62
"ArdleyL02";0;10;NA;NA;NA;1,2;23,4;75,4;"south pole stereographic";"ESRI:102021";-2709177,099;1632965,41
"ArdleyL03";0;10;NA;NA;NA;9,32;55,3;35,45;"south pole stereographic";"ESRI:102021";-2709725,405;1632737,985
"ArdleyM01";5;10;NA;18,6;5,41;13;33;54;"south pole stereographic";"ESRI:102021";-2709527,685;1632653,622
"ArdleyM01";0;5;NA;21,2;5,09;9;32;59;"south pole stereographic";"ESRI:102021";-2709527,685;1632653,622
"ArdleyM02";5;10;NA;15,7;5,39;12;27;61;"south pole stereographic";"ESRI:102021";-2709516,597;1632692,269
"ArdleyM02";0;5;NA;NA;NA;34;29;13;"south pole stereographic";"ESRI:102021";-2709516,597;1632692,269
"ArdleyM02";10;13;NA;NA;NA;22;37;41;"south pole stereographic";"ESRI:102021";-2709516,597;1632692,269
"ArdleyM03";10;30;NA;2,7;6,32;28;44;28;"south pole stereographic";"ESRI:102021";-2709329,385;1632940,014
"ArdleyM03";0;10;NA;5,7;5,68;29;45;26;"south pole stereographic";"ESRI:102021";-2709329,385;1632940,014
"ArdleyM03";30;60;NA;9,4;5,84;24;37;39;"south pole stereographic";"ESRI:102021";-2709329,385;1632940,014
"ArdleyM04";30;40;NA;4,5;4,83;13;30;57;"south pole stereographic";"ESRI:102021";-2709289,626;1632976,272
"ArdleyM04";10;30;NA;9;4,73;13;31;56;"south pole stereographic";"ESRI:102021";-2709289,626;1632976,272
"ArdleyM04";0;10;NA;14,9;4,01;18;35;47;"south pole stereographic";"ESRI:102021";-2709289,626;1632976,272
"ArdleyM05";0;40;NA;1,8;6,02;19,67;36,67;43,67;"south pole stereographic";"ESRI:102021";-2709961,271;1632684,108
"ArdleyM06";10;30;NA;0,5;6,12;26;33;41;"south pole stereographic";"ESRI:102021";-2709927,056;1632703,143
"ArdleyM06";0;10;NA;NA;5,52;13;31,33;45,67;"south pole stereographic";"ESRI:102021";-2709927,056;1632703,143
"ArdleyM07";0;10;NA;0,9;4,45;15,5;33;51,5;"south pole stereographic";"ESRI:102021";-2710000,748;1632685,54
"ArdleyM07";50;70;NA;1,27;6,62;14;20;66;"south pole stereographic";"ESRI:102021";-2710000,748;1632685,54
"ArdleyM07";10;30;NA;3,3;5,09;18,17;32,44;46,06;"south pole stereographic";"ESRI:102021";-2710000,748;1632685,54
"ArdleyM07";30;50;NA;12,6;6,43;7;41;52;"south pole stereographic";"ESRI:102021";-2710000,748;1632685,54
"ArdleyM08";10;30;NA;5,7;5,93;20;34;46;"south pole stereographic";"ESRI:102021";-2710239,729;1631867,342
"ArdleyM08";0;10;NA;13,7;5,98;11;33;56;"south pole stereographic";"ESRI:102021";-2710239,729;1631867,342
"ArdleyM09";20;50;NA;3,3;5,89;11;15;74;"south pole stereographic";"ESRI:102021";-2710218,585;1631912,741
"ArdleyM09";0;20;NA;6,6;6,01;16;22;62;"south pole stereographic";"ESRI:102021";-2710218,585;1631912,741
"ArdleyM10";0;20;NA;19,3;5,64;16,03;31,93;52,03;"south pole stereographic";"ESRI:102021";-2710278,055;1631962,714
"ArdleyM11";20;40;NA;5,9;5,75;19;32;49;"south pole stereographic";"ESRI:102021";-2710249,679;1631955,806
"ArdleyM11";0;20;NA;15,7;5,44;15;24;61;"south pole stereographic";"ESRI:102021";-2710249,679;1631955,806
"ArdleyM12";3;15;NA;4,8;5,23;9;46;45;"south pole stereographic";"ESRI:102021";-2709750,827;1632226,685
"ArdleyM12";0;3;NA;5,4;5,64;10;35;55;"south pole stereographic";"ESRI:102021";-2709750,827;1632226,685
"ArdleyM12";15;30;NA;7,4;5,47;8;40;52;"south pole stereographic";"ESRI:102021";-2709750,827;1632226,685
"ArdleyM13";0;10;NA;26,7;5,03;16;22;62;"south pole stereographic";"ESRI:102021";-2709610,345;1632201,804
"ArdleyM14";0;10;NA;6,72;7,2;17,92;30,5;51,58;"south pole stereographic";"ESRI:102021";-2709406,851;1633219,664
"ArdleyM14";60;65;NA;9,89;4,8;17,24;28,61;54,15;"south pole stereographic";"ESRI:102021";-2709406,851;1633219,664
"ArdleyM14";10;20;NA;12,67;6,4;16,98;31,22;51,81;"south pole stereographic";"ESRI:102021";-2709406,851;1633219,664
"ArdleyM14";20;60;NA;12,99;4,2;17,5;26;56,5;"south pole stereographic";"ESRI:102021";-2709406,851;1633219,664
"ArdleyM15";10;30;NA;0,4;6,32;7;8;85;"south pole stereographic";"ESRI:102021";-2709899,206;1632872,647
"ArdleyM15";0;10;NA;3,9;5,49;18;15;67;"south pole stereographic";"ESRI:102021";-2709899,206;1632872,647
"ArdleyM16";15;25;NA;0,6;5,64;11;16;73;"south pole stereographic";"ESRI:102021";-2709967,423;1632294,188
"ArdleyM16";0;15;NA;5,4;6,19;16;20;64;"south pole stereographic";"ESRI:102021";-2709967,423;1632294,188
"ArdleyM17";0;20;NA;13,1;7,69;20;36;44;"south pole stereographic";"ESRI:102021";-2709780,868;1632418,999
"ArdleyPB01";0;30;NA;4,54;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710367,893;1632276,341
"ArdleyPB02";0;30;NA;18,73;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2710106,167;1632410,327
"ArdleyPB03";0;30;NA;7,64;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709938,421;1632405,564
"ArdleyPB04";0;30;NA;5,81;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709909,824;1632835,61
"ArdleyPB05";0;30;NA;13,2;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709887,585;1632939,827
"ArdleyPB06";0;30;NA;8,63;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709866,207;1632939,192
"ArdleyPB07";0;30;NA;7,62;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709809,5;1632862,581
"ArdleyPB08";0;30;NA;15,73;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709430,131;1633109,703
"ArdleyPB09";0;30;NA;14,84;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709388,327;1633289,928
"ArdleyYG01";0;5;NA;1,15;5,94;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709798,428;1632765,495
"ArdleyYG02";0;5;NA;13,17;5,66;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709904,025;1632865,224
"ArdleyYG03";0;5;NA;0,7;6,18;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709782,596;1632789,478
"ArdleyYG04";0;5;NA;1;5,65;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709949,321;1632774,847
"ArdleyZ01";0;30;NA;8,35;3,73;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709460,671;1633071,316
"ArdleyZ02";0;30;NA;5,45;5,15;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2709249,533;1632933,203
"Barrientos01";45;60;NA;0,1;6;6;16;78;"south pole stereographic";"ESRI:102021";-2712763,287;1582377,238
"Barrientos01";60;100;NA;0,1;5,12;7;40;53;"south pole stereographic";"ESRI:102021";-2712763,287;1582377,238
"Barrientos01";20;45;NA;0,1;5,2;6;15;79;"south pole stereographic";"ESRI:102021";-2712763,287;1582377,238
"Barrientos01";5;20;NA;0,3;4,86;3;14;83;"south pole stereographic";"ESRI:102021";-2712763,287;1582377,238
"Barrientos01";0;5;NA;0,9;6,04;4;12;84;"south pole stereographic";"ESRI:102021";-2712763,287;1582377,238
"Barrientos02";17;20;NA;1;5,52;8;18;74;"south pole stereographic";"ESRI:102021";-2712865,639;1582410,158
"Barrientos02";10;17;NA;4,2;5,88;7;10;83;"south pole stereographic";"ESRI:102021";-2712865,639;1582410,158
"Barrientos02";0;10;NA;7,4;6,3;5;2;93;"south pole stereographic";"ESRI:102021";-2712865,639;1582410,158
"Barrientos03";38;70;NA;1,6;3,91;11;27;62;"south pole stereographic";"ESRI:102021";-2713159,468;1582458,849
"Barrientos03";3;10;NA;2,2;4,66;11;11;78;"south pole stereographic";"ESRI:102021";-2713159,468;1582458,849
"Barrientos03";20;38;NA;2,4;4,33;11;23;66;"south pole stereographic";"ESRI:102021";-2713159,468;1582458,849
"Barrientos03";10;20;NA;2,9;4,4;15;16;69;"south pole stereographic";"ESRI:102021";-2713159,468;1582458,849
"Barrientos03";0;3;NA;6,4;4,78;9;6;85;"south pole stereographic";"ESRI:102021";-2713159,468;1582458,849
"Barrientos04";10;70;NA;0,2;6,24;4;22;74;"south pole stereographic";"ESRI:102021";-2713186,163;1582303,362
"Barrientos04";0;10;NA;0,9;5,76;9;13;78;"south pole stereographic";"ESRI:102021";-2713186,163;1582303,362
"Barrientos05";30;70;NA;0,1;5,32;7;21;72;"south pole stereographic";"ESRI:102021";-2713212,879;1582249,947
"Barrientos05";10;30;NA;0,1;5,23;5;20;75;"south pole stereographic";"ESRI:102021";-2713212,879;1582249,947
"Barrientos05";3;10;NA;0,3;5,15;6;24;70;"south pole stereographic";"ESRI:102021";-2713212,879;1582249,947
"Barrientos05";0;3;NA;0,4;4,94;6;24;70;"south pole stereographic";"ESRI:102021";-2713212,879;1582249,947
"BartonA01";0;10;NA;20,04;4,8;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2704258,695;1640392,554
"BartonYL01";0;10;NA;0,15;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2704481,056;1640501,549
"BartonYL02";0;10;NA;0,15;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2704219,128;1640107,814
"BartonYL03";0;10;NA;0,2;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2704269,135;1640363,402
"BartonYL04";0;10;NA;0,18;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2704330,73;1640595,813
"BartonYL05";0;10;NA;0,36;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2704089,098;1640223,08
"BartonYL06";0;10;NA;2,9;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703946,646;1639317,046
"BartonYL07";0;10;NA;0,98;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703359,469;1639112,589
"BartonYL08";0;10;NA;0,56;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703120,285;1639588,839
"BartonYL09";0;10;NA;2,17;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703229,346;1640033,287
"BartonYL10";0;10;NA;1,42;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703479,378;1639713,802
"BartonYL11";0;10;NA;0,32;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703823,646;1639375,638
"BartonYL12";0;10;NA;0,27;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702715,78;1639303,495
"BartonYL13";0;10;NA;1,2;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702500,938;1639447,428
"BartonYL14";0;10;NA;1,5;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701548,225;1640364,344
"BartonYL15";0;10;NA;0,07;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703699,975;1641743,178
"BartonYL16";0;10;NA;1,03;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703272,937;1641603,743
"BartonYL17";0;10;NA;0,46;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703699,931;1639994,808
"BartonYL18";0;10;NA;0,3;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703527,422;1640188,484
"BartonYL19";0;10;NA;0,84;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2703106,178;1640490,109
"BartonYL20";0;10;NA;0,32;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702830,746;1640594,091
"BartonYL21";0;10;NA;0,38;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2704499,688;1638892,331
"BartonYL22";0;10;NA;0,15;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2704212,35;1638859,364
"BartonYL23";0;10;NA;0,06;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2704372,203;1639021,775
"BartonYL24";0;10;NA;0,15;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702438,69;1640727,514
"BartonYL25";0;10;NA;0,92;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702011,123;1641322,298
"BartonYL26";0;10;NA;0,15;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701989,702;1640725,82
"BartonYL27";0;10;NA;0,48;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702211,953;1640440,07
"BartonYL28";0;10;NA;0,9;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702409,663;1638957,408
"BartonYL29";0;10;NA;1,17;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2702191,381;1639293,429
"BartonYL30";0;10;NA;2,97;NA;NA;NA;NA;"south pole stereographic";"ESRI:102021";-2701611,943;1639662,524
"ByersA01";10;20;1,1912;1,5;6,61;12;35;53;"south pole stereographic";"ESRI:102021";-2725235,25;1505328,905
"ByersA01";0;10;1,252;1,57;6,52;11;36;53;"south pole stereographic";"ESRI:102021";-2725235,25;1505328,905
"ByersA01";20;30;NA;1,8;7;10;30;60;"south pole stereographic";"ESRI:102021";-2725235,25;1505328,905
"ByersA02";20;30;NA;0,23;7,72;14;15;71;"south pole stereographic";"ESRI:102021";-2725321,476;1505330,356
"ByersA02";10;20;NA;2,4;6,72;14;21;65;"south pole stereographic";"ESRI:102021";-2725321,476;1505330,356
"ByersA02";0;10;NA;2,93;6,49;14;20;66;"south pole stereographic";"ESRI:102021";-2725321,476;1505330,356
"ByersA03";90;100;NA;1,57;5,08;8;31;61;"south pole stereographic";"ESRI:102021";-2722218,489;1502345,724
"ByersA03";45;65;NA;1,8;5,18;10;9;81;"south pole stereographic";"ESRI:102021";-2722218,489;1502345,724
"ByersA03";65;80;NA;2,03;5,17;10;9;81;"south pole stereographic";"ESRI:102021";-2722218,489;1502345,724
"ByersA03";80;90;NA;2,32;4,98;12;15;73;"south pole stereographic";"ESRI:102021";-2722218,489;1502345,724
